gene_id,gene_name,Common_Name,Citation,URL,Review,URL,Note,Pub_locus,Other_Name
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s36,,,,Bm1_53510,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00225841,Bma-aldo-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s37,,,,Bm1_15350,Bm-aldo-1; TAG5580; Bm1_15350A; Bm1_15350
WBGene00225529,Bm5268,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s38,,,,Bm1_07275,TAG5268; Bm1_07275A; Bm1_07280A; Bm1_07275; Bm1_07280
WBGene00223871,Bm3610,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s40,,,,Bm1_04870,TAG3610; Bm1_04870A; Bm1_07275A; Bm1_04870
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s41,,,,Bm1_12945,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00226345,Bma-npa-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s42,,,,Bm1_50995,Bm-npa-1; TAG6084; Bm1_50995; Bm1_51000
WBGene00225490,Bm5229,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s43,,,,Bm1_40580,TAG5229; Bm1_40580
WBGene00223872,Bma-hsp-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s44,,,,Bm1_43675,Bm-hsp-1; TAG3611; Bma-hsp70; Bm1_43675
WBGene00225654,Bm5393,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s45,,,,Bm1_13600,TAG5393; Bm1_13600A; Bm1_13600
WBGene00224220,Bma-csq-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s46,,,,Bm1_40185,Bm-csq-1; TAG3959; Bm1_40185
WBGene00233914,Bm13653,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s47,,,,Bm1_51495,Bm-daf-21; TAG13653; Bm1_51495
WBGene00223600,Bma-ldh-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s48,,,,Bm1_43730,Bm-ldh-1; TAG3339; Bm1_43730
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s49,,,,Bm1_09810,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00227909,Bma-lec-5,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s50,,,,Bm1_46740,Bm-lec-5; TAG7648; Bm1_46740A; Bm1_46740
WBGene00223407,Bma-far-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s51,,,,Bm1_41425,TAG3146; Bm1_41425A; Bm1_41425
WBGene00233924,Bma-hsp-110,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s52,,,,Bm1_23190,TAG13663; Bm1_23190A; Bm1_23190
WBGene00223825,Bma-ubq-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s53,,,,Bm1_27905,TAG3564; Bm1_27905A; Bm1_27905
WBGene00229393,Bma-exc-15,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s54,,,,Bm1_28070,TAG9132; Bm1_28070A; Bm1_28070
WBGene00224246,Bma-ctsa-1.1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s55,,,,Bm1_43130,TAG3985; Bm1_43130
WBGene00225062,Bma-let-805,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s56,,,,Bm1_55510,TAG4801; Bm1_02140A; Bm1_09810A; Bm1_12945A; Bm1_19525A; Bm1_53505A; Bm1_53510A; Bm1_53515A; Bm1_55510A; Bm1_57145A; TAG11312; TAG12130; Bm1_53505; Bm1_02140; Bm1_12945; Bm1_53515; Bm1_55510; Bm1_09810; Bm1_19525; Bm1_57145; Bm1_53510
WBGene00227699,Bm7438,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s57,,,,Bm1_35885,TAG7438; Bm1_35885A; TAG12476; Bm1_35885
WBGene00226322,Bm6061,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s58,,,,Bm1_26585,TAG6061; Bm1_26585A; Bm1_26585
WBGene00225962,Bm5701,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s59,,,,Bm1_40520,TAG5701; TAG14286; Bm1_40520
WBGene00225960,Bm5699,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s60,,,,Bm1_41940,TAG5699; TAG13505; Bm1_57265A; Bm1_41940
WBGene00228921,Bma-asp-4,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s61,,,,Bm1_12055,TAG8660; Bm-asp-4; TAG5372; Bm1_14055A; Bm1_12055A; Bm1_12055
WBGene00234207,Bma-gpi-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s62,,,,Bm1_47625,Bm-gpi-1; TAG13946; TAG11931; Bm1_47625
WBGene00234042,Bma-ndk-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s63,,,,Bm1_50135,Bm-ndk-1; TAG13781; Bm1_17990A; TAG13646; NDK; NDK; Bm1_50135
WBGene00226053,Bma-hex-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s64,,,,Bm1_15330,Bm-hex-1; TAG5792; Bm1_15330A; Bm1_15330
WBGene00229298,Bm9037,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s65,,,,Bm1_13815,TAG9037; Bm1_13815A; Bm1_13815
WBGene00229844,Bma-ftt-2.1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s66,,,,Bm1_18190,TAG9583; Bm1_18190A; Bm1_18190
WBGene00226528,Bma-lec-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s67,,,,Bm1_46750,Bm-lec-1; TAG6267; Bm1_46750A; Bm1_46750
WBGene00231083,Bma-dig-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s68,,,,Bm1_45475,TAG10822; TAG12446; TAG4881; Bm1_45475; Bm1_45480
WBGene00228755,Bma-unc-52,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s70,,,,Bm1_09895,TAG8494; Bm1_08985A; TAG11264; TAG11675; TAG11716; TAG12396; TAG14113; TAG1607; Bm-unc-52; TAG7346; Bm1_09895A; TAG7347; Bm1_02990A; Bm1_02995A; Bm1_11225A; Bm1_11675A; TAG7348; Bm1_53440A; TAG8038; Bm1_02990; Bm1_02995; Bm1_09895; Bm1_08985; Bm1_11675; Bm1_53440; Bm1_11225
