Sex,Worm,Distance,Gray_Value,Annotation
Male,0329_e3,59.8,23.7614,
Male,0329_e3,60.125,23.1818,
Male,0329_e3,60.45,23.1818,
Male,0329_e3,60.775,22.0227,
Male,0329_e3,61.1,20.8636,
Male,0329_e3,61.425,20.2841,
Male,0329_e3,61.75,17.3864,
Male,0329_e3,62.075,16.2273,
Male,0329_e3,62.4,15.6477,
Male,0329_e3,62.725,16.2273,
Male,0329_e3,63.05,15.0682,
Male,0329_e3,63.375,14.4886,
Male,0329_e3,63.7,12.75,
Male,0329_e3,64.025,12.75,
Male,0329_e3,64.35,13.3295,
Male,0329_e3,64.675,12.1705,
Male,0329_e3,65,13.3295,
Male,0329_e3,65.325,12.75,
Male,0329_e3,65.65,16.8068,
Male,0329_e3,65.975,14.4886,
Male,0329_e3,66.3,14.4886,
Male,0329_e3,66.625,15.6477,
Male,0329_e3,66.95,16.8068,
Male,0329_e3,67.275,16.2273,
Male,0329_e3,67.6,17.3864,
Male,0329_e3,67.925,16.8068,
Male,0329_e3,68.25,17.9659,
Male,0329_e3,68.575,17.3864,
Male,0329_e3,68.9,15.6477,
Male,0329_e3,69.225,13.9091,
Male,0329_e3,69.55,14.4886,
Male,0329_e3,69.875,15.0682,
Male,0329_e3,70.2,15.0682,
Male,0329_e3,70.525,14.4886,
Male,0329_e3,70.85,11.5909,
Male,0329_e3,71.175,9.8523,
Male,0329_e3,71.5,9.8523,
Male,0329_e3,71.825,8.6932,
Male,0329_e3,72.15,8.1136,
Male,0329_e3,72.475,8.1136,
Male,0329_e3,72.8,8.1136,
Male,0329_e3,73.125,7.5341,
Male,0329_e3,73.45,6.9545,
Male,0329_e3,73.775,6.375,
Male,0329_e3,74.1,4.6364,
Male,0329_e3,74.425,5.2159,
Male,0329_e3,74.75,2.8977,
Male,0329_e3,75.075,1.1591,
Male,0329_e3,75.4,0,
Male,0329_e3,75.725,0,
Male,0329_e3,76.05,0,
Male,0329_e3,76.375,0,
Male,0329_e3,76.7,0,
Male,0329_e3,77.025,0,
Male,0329_e3,77.35,0,
Male,0329_e3,77.675,0,
Male,0329_e3,78,0,
Male,0329_e3,78.325,0,
